Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Bobon to Poblacion 1,24625.97,78.08,530.94,452.87,1185.12,732.26,1.85,63.02,8.33,5.7,17737.8,295.62,25928.94,432.12,Concrete,Very Good
Bobon to Poblacion 2,29429.5,77.97,530.94,452.97,1661.84,1208.86,1.55,63.02,8.33,4.5,21197.7,353.28,39235.08,653.94,Concrete,Very Good
Bobon to Poblacion 3,25815.5,77.99,531.69,453.7,1302.8,849.11,1.77,61.81,8.33,5.41,18594.6,309.9,28651.92,477.54,Concrete,Very Good
Ingay to Poblacion 1,24153.87,77.95,417.29,339.33,1181.63,842.3,1.42,94.41,8.33,4.05,17397.72,289.98,35809.08,596.82,Concrete,Very Good
Ingay to Poblacion 2,28952.12,77.97,417.29,339.32,1621.31,1281.99,1.18,94.41,8.33,4.07,20853.84,347.58,42717.72,711.96,Concrete,Very Good
Barasan to Poblacion 1,3413.54,106.25,87.32,-18.93,74.39,93.32,-0.56,19.5,8.33,4.12,2458.74,40.98,4972.74,82.86,Concrete,Very Good
Barasan to Poblacion 2,9526.53,106.23,87.1,-19.12,283.63,302.76,-0.2,24.72,8.33,4.15,6861.84,114.36,13779.18,229.68,Concrete,Very Good
Samlague to Poblacion 1,8248.28,234.82,86.93,-147.89,189.14,337.03,-1.8,27.76,8.33,4.27,5941.14,99.0,11601.54,193.38,Concrete,Very Good
Samlague to Poblacion 2,8201.56,234.72,86.93,-147.79,203.0,350.8,-1.81,33.31,8.33,4.31,5907.48,98.46,11410.5,190.2,Concrete,Very Good
Samlague to Poblacion 3,8273.15,234.78,86.93,-147.85,215.76,363.6,-1.79,40.33,8.33,4.25,5959.08,99.3,11684.82,194.76,Concrete,Very Good
Samlague to Poblacion 4,16755.36,234.79,87.12,-147.67,509.18,656.85,-0.88,37.75,8.33,4.09,12068.7,201.12,24572.28,409.56,Concrete,Very Good
Binolbog to Poblacion 1,8748.42,77.99,277.27,199.28,356.06,156.78,2.29,37.71,8.33,5.56,6301.38,105.0,9436.68,157.26,Concrete,Very Good
Binolbog to Poblacion 2,9796.52,77.99,277.27,199.28,393.34,194.06,2.04,31.61,8.33,4.82,7056.3,117.6,12187.5,203.1,Concrete,Very Good
Binolbog to Poblacion 3,13961.7,276.34,87.05,-189.28,425.22,614.5,-1.36,38.54,8.33,4.05,10056.42,167.58,20676.06,344.58,Concrete,Very Good
Lonoc to Poblacion 1,7710.3,77.97,239.3,161.33,279.32,117.99,2.1,31.34,8.33,5.3,5553.66,92.58,8728.62,145.5,Concrete,Very Good
Lonoc to Poblacion 2,10593.92,77.97,239.28,161.31,414.58,253.27,1.53,35.34,8.33,4.04,7630.68,127.2,15742.44,262.38,Concrete,Very Good
Lonoc to Poblacion 3,14745.26,239.76,87.05,-152.7,476.11,628.81,-1.04,38.54,8.33,4.08,10620.84,177.0,21693.0,361.56,Concrete,Very Good
Carolina to Poblacion 1,7063.02,77.97,187.95,109.98,304.37,194.39,1.56,30.65,8.33,4.43,5087.4,84.78,9559.44,159.3,Concrete,Very Good
Carolina to Poblacion 2,7233.09,77.97,187.95,109.98,318.21,208.24,1.53,30.65,8.33,4.25,5209.92,86.82,10202.52,170.04,Concrete,Very Good
Paga to Poblacion 1,12437.91,331.51,87.12,-244.39,236.08,480.47,-1.97,29.76,8.33,4.0,8958.9,149.34,18652.68,310.86,Concrete,Very Good
Paga to Poblacion 2,13859.82,331.51,87.05,-244.46,407.39,651.85,-1.77,38.54,8.33,4.02,9983.04,166.38,20699.7,345.0,Concrete,Very Good
Paga to Poblacion 3,17122.28,87.02,331.45,244.44,740.5,496.06,1.43,32.96,8.33,4.05,12333.0,205.56,25394.04,423.24,Concrete,Very Good
Ambulong to Poblacion 1,7216.42,107.87,86.95,-20.92,140.46,161.38,-0.29,13.67,8.33,5.77,5197.92,86.64,7510.44,125.16,Concrete,Very Good
Ambulong to Poblacion 2,17223.12,107.88,87.05,-20.82,631.72,652.54,-0.12,38.54,8.33,4.15,12405.6,206.76,24871.62,414.54,Concrete,Very Good
Ambulong to Poblacion 3,15884.78,107.83,87.05,-20.78,630.58,651.35,-0.13,38.54,8.33,4.15,11441.64,190.68,22943.58,382.38,Concrete,Very Good
Avanzada to Poblacion 1,7089.52,151.05,87.1,-63.95,139.27,203.22,-0.9,26.8,8.33,5.02,5106.48,85.08,8480.94,141.36,Concrete,Very Good
Avanzada to Poblacion 2,15891.13,149.99,87.05,-62.94,567.44,630.38,-0.4,38.54,8.33,4.13,11446.2,190.74,23076.0,384.6,Concrete,Very Good
Avanzada to Poblacion 3,17220.12,150.96,87.05,-63.91,650.25,714.15,-0.37,38.54,8.33,4.13,12403.44,206.7,24993.36,416.58,Concrete,Very Good
Bayag Norte to Poblacion 1,5796.68,84.07,87.1,3.03,130.61,127.58,0.05,14.85,8.33,6.01,4175.28,69.6,5787.24,96.48,Concrete,Very Good
Bayag Norte to Poblacion 2,17172.93,84.27,87.05,2.78,643.21,640.43,0.02,38.54,8.33,4.16,12369.48,206.16,24746.94,412.44,Concrete,Very Good
Bayag Norte to Poblacion 3,17310.94,84.13,87.05,2.92,669.36,666.44,0.02,38.54,8.33,4.16,12468.84,207.84,24946.2,415.74,Concrete,Very Good
Bayag Sur to Poblacion 1,6327.14,96.35,87.1,-9.25,134.59,143.85,-0.15,14.85,8.33,5.94,4557.36,75.96,6392.46,106.56,Concrete,Very Good
Bayag Sur to Poblacion 2,16658.47,95.69,87.05,-8.64,626.99,635.63,-0.05,38.54,8.33,4.16,11998.92,199.98,24022.8,400.38,Concrete,Very Good
Bayag Sur to Poblacion 3,16788.66,96.01,87.05,-8.96,653.22,662.18,-0.05,38.54,8.33,4.16,12092.7,201.54,24211.32,403.5,Concrete,Very Good
Cabutongan to Poblacion 1,8008.59,113.66,87.1,-26.56,198.62,225.18,-0.33,30.81,8.33,4.14,5768.52,96.12,11614.2,193.56,Concrete,Very Good
Cabutongan to Poblacion 2,16806.13,113.64,87.05,-26.59,625.26,651.85,-0.16,38.54,8.33,4.15,12105.24,201.78,24287.7,404.82,Concrete,Very Good
Cabutongan to Poblacion 3,18141.7,113.61,87.05,-26.56,708.5,735.06,-0.15,38.54,8.33,4.15,13067.22,217.8,26211.66,436.86,Concrete,Very Good
Jamog Gines to Poblacion 1,5563.11,74.91,87.1,12.19,128.22,116.02,0.22,14.85,8.33,5.92,4007.04,66.78,5634.36,93.9,Concrete,Very Good
Jamog Gines to Poblacion 2,17487.04,75.04,87.05,12.01,652.37,640.35,0.07,38.54,8.33,4.16,12595.68,209.94,25226.22,420.42,Concrete,Very Good
Jamog Gines to Poblacion 3,17621.04,75.05,87.05,12.0,681.52,669.52,0.07,38.54,8.33,4.16,12692.22,211.56,25419.24,423.66,Concrete,Very Good
Jamog Gines to Poblacion 4,8722.57,74.47,87.05,12.58,217.31,204.74,0.14,17.08,8.33,4.15,6282.78,104.7,12601.92,210.06,Concrete,Very Good
Jamog Gines to Poblacion 5,9735.19,73.86,87.05,13.19,247.21,234.01,0.14,17.08,8.33,4.15,7012.14,116.88,14062.5,234.36,Concrete,Very Good
Jamog Gines to Poblacion 6,8383.57,74.04,87.1,13.06,191.89,178.83,0.16,25.64,8.33,4.15,6038.58,100.62,12114.96,201.9,Concrete,Very Good
Jamog Gines to Poblacion 7,7702.48,73.15,87.1,13.95,153.71,139.76,0.18,18.16,8.33,4.15,5548.02,92.46,11136.42,185.58,Concrete,Very Good
Isian Norte to Poblacion 1,4291.6,82.63,87.1,4.47,90.4,85.93,0.1,14.85,8.33,6.13,3091.2,51.54,4202.22,70.02,Concrete,Very Good
Isian Norte to Poblacion 2,7518.0,84.66,87.05,2.38,180.75,178.36,0.03,17.08,8.33,4.16,5415.12,90.24,10837.14,180.6,Concrete,Very Good
Isian Norte to Poblacion 3,8531.36,84.58,87.05,2.47,211.32,208.85,0.03,17.08,8.33,4.16,6145.02,102.42,12297.18,204.96,Concrete,Very Good
Isian Norte to Poblacion 4,6434.94,83.04,87.1,4.06,117.04,112.98,0.06,18.16,8.33,4.16,4635.0,77.28,9281.76,154.68,Concrete,Very Good
Isian Norte to Poblacion 5,7109.66,82.75,87.1,4.35,159.32,154.97,0.06,25.64,8.33,4.16,5121.0,85.38,10254.54,170.88,Concrete,Very Good
Mina to Poblacion 1,8199.72,174.54,86.95,-87.59,152.52,240.11,-1.07,34.19,8.33,5.46,5906.16,98.46,9007.08,150.12,Concrete,Very Good
Mina to Poblacion 2,18207.02,174.54,87.05,-87.49,642.8,730.29,-0.48,38.54,8.33,4.12,13114.32,218.58,26484.3,441.42,Concrete,Very Good
Mina to Poblacion 3,16565.43,174.51,87.05,-87.46,634.52,721.97,-0.53,38.54,8.33,4.12,11931.9,198.84,24119.82,402.0,Concrete,Very Good
Panginman to Poblacion 1,2299.28,100.03,87.1,-12.93,42.63,55.56,-0.56,11.89,8.33,4.12,1656.12,27.6,3350.04,55.86,Concrete,Very Good
Panginman to Poblacion 2,4435.23,100.01,87.1,-12.91,79.55,92.46,-0.29,18.16,8.33,4.14,3194.64,53.22,6426.72,107.1,Concrete,Very Good
Panginman to Poblacion 3,6762.2,100.03,87.1,-12.93,146.46,159.39,-0.19,25.64,8.33,4.15,4870.74,81.18,9778.92,162.96,Concrete,Very Good
Panginman to Poblacion 4,9351.43,99.95,87.05,-12.91,197.67,210.58,-0.14,17.08,8.33,4.15,6735.72,112.26,13508.82,225.12,Concrete,Very Good
Panginman to Poblacion 5,10348.69,99.53,87.05,-12.49,227.7,240.19,-0.12,17.08,8.33,4.15,7454.04,124.26,14944.2,249.06,Concrete,Very Good
Tina-an Sur to Poblacion 1,3014.77,104.29,87.1,-17.19,55.23,72.41,-0.57,14.85,8.33,4.5,2171.52,36.18,4017.42,66.96,Concrete,Very Good
Tina-an Sur to Poblacion 2,6045.59,104.29,87.1,-17.19,131.94,149.13,-0.28,25.64,8.33,4.14,4354.56,72.6,8759.04,145.98,Concrete,Very Good
Tina-an Sur to Poblacion 3,5146.51,104.67,87.1,-17.57,91.68,109.25,-0.34,18.16,8.33,4.14,3706.98,61.8,7465.02,124.44,Concrete,Very Good
Tina-an Sur to Poblacion 4,8637.61,104.49,87.05,-17.44,184.96,202.4,-0.2,17.08,8.33,4.15,6221.58,103.68,12493.68,208.2,Concrete,Very Good
Tina-an Sur to Poblacion 5,9655.03,104.3,87.05,-17.25,214.47,231.72,-0.18,17.08,8.33,4.15,6954.42,115.92,13958.76,232.62,Concrete,Very Good
Ayabang to Poblacion 1,15324.91,77.89,287.61,209.72,507.57,297.86,1.37,44.46,8.33,5.55,11038.38,183.96,16581.0,276.36,Concrete,Very Good
Ayabang to Poblacion 2,16721.93,287.96,86.91,-201.06,349.72,550.78,-1.21,32.59,8.33,4.63,12044.58,200.76,21677.16,361.26,Concrete,Very Good
Ayabang to Poblacion 3,16478.32,287.59,86.98,-200.61,316.06,516.67,-1.22,44.44,8.33,4.74,11869.14,197.82,20875.14,347.94,Concrete,Very Good
Banagan to Poblacion 1,20580.26,305.5,86.91,-218.6,583.88,802.47,-1.07,33.79,8.33,4.17,14823.72,247.08,29639.46,493.98,Concrete,Very Good
Banagan to Poblacion 2,16696.38,77.98,305.61,227.63,704.87,477.24,1.37,33.84,8.33,5.9,12026.22,200.46,16991.52,283.2,Concrete,Very Good
Banagan to Poblacion 3,19647.25,77.98,305.61,227.63,887.99,660.36,1.17,34.41,8.33,4.82,14151.66,235.86,24475.02,407.94,Concrete,Very Good
Banagan to Poblacion 4,19416.46,305.58,86.98,-218.6,521.38,739.98,-1.13,44.44,8.33,4.62,13985.46,233.1,25230.6,420.48,Concrete,Very Good
Gines to Poblacion 1,12726.59,77.98,278.61,200.62,441.97,241.35,1.58,32.71,8.33,6.56,9166.8,152.76,11640.84,194.04,Concrete,Very Good
Gines to Poblacion 2,15980.47,77.89,278.7,200.8,538.85,338.05,1.26,44.46,8.33,5.18,11510.52,191.82,18516.84,308.64,Concrete,Very Good
Gines to Poblacion 3,18216.26,77.99,278.61,200.61,633.18,432.57,1.11,32.8,8.33,4.21,13120.98,218.7,25944.3,432.42,Concrete,Very Good
Igcadios to Poblacion 1,13292.39,77.98,242.76,164.78,475.15,310.37,1.24,32.71,8.33,5.96,9574.32,159.6,13386.72,223.14,Concrete,Very Good
Igcadios to Poblacion 2,15021.97,242.85,86.91,-155.94,283.72,439.66,-1.04,31.99,8.33,4.8,10820.16,180.36,18758.28,312.66,Concrete,Very Good
Igcadios to Poblacion 3,14575.18,77.89,241.59,163.7,438.68,274.98,1.13,69.27,8.33,5.35,10498.32,174.96,16336.98,272.28,Concrete,Very Good
Malublub to Poblacion 1,10479.66,175.91,87.29,-88.63,242.32,330.95,-0.85,45.2,8.33,5.44,7548.36,125.82,11562.54,192.72,Concrete,Very Good
Malublub to Poblacion 2,12988.89,77.98,175.81,97.83,400.5,302.67,0.76,32.71,8.33,4.31,9355.74,155.94,18102.24,301.68,Concrete,Very Good
Malublub to Poblacion 3,12802.37,77.98,175.81,97.83,417.56,319.73,0.77,32.71,8.33,4.42,9221.4,153.66,17369.1,289.5,Concrete,Very Good
Poblacion to Dugo 1,1371.0,72.69,87.05,14.35,32.88,18.53,1.05,12.81,8.33,6.93,987.54,16.44,1187.88,19.8,Concrete,Very Good
Poblacion to Dugo 2,1490.33,72.69,87.05,14.35,36.66,22.31,0.96,12.81,8.33,6.47,1073.46,17.88,1381.26,23.04,Concrete,Very Good
Poblacion to Dugo 3,1376.74,72.69,87.05,14.35,33.32,18.96,1.04,12.81,8.33,6.9,991.62,16.5,1196.58,19.92,Concrete,Very Good
Ticuan to Poblacion 1,13663.69,77.98,243.47,165.49,461.97,296.48,1.22,32.71,8.33,6.06,9841.8,164.04,13525.98,225.42,Concrete,Very Good
Ticuan to Poblacion 2,16911.07,77.89,243.51,165.61,561.44,395.82,0.98,44.46,8.33,4.63,12180.84,203.04,21932.34,365.52,Concrete,Very Good
Ticuan to Poblacion 3,19143.76,77.99,243.49,165.5,654.7,489.2,0.87,32.8,8.33,4.09,13789.02,229.8,28065.06,467.76,Concrete,Very Good
Tunguan to Poblacion 1,14875.3,77.98,406.6,328.62,613.1,284.49,2.22,32.71,8.33,6.53,10714.5,178.56,13668.3,227.82,Concrete,Very Good
Tunguan to Poblacion 2,18757.22,406.57,86.91,-319.66,390.84,710.49,-1.71,32.59,8.33,4.9,13510.62,225.18,22963.98,382.74,Concrete,Very Good
Tunguan to Poblacion 3,17593.26,406.58,86.98,-319.6,328.07,647.67,-1.82,44.44,8.33,5.33,12672.24,211.2,19790.16,329.82,Concrete,Very Good
Tunguan to Poblacion 4,15294.22,77.98,406.6,328.62,639.42,310.8,2.16,36.29,8.33,6.39,11016.24,183.6,14367.18,239.46,Concrete,Very Good
