Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Sinuosity_Index,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Banagan to Poblacion 4,19416.46,305.58,86.98,-218.6,521.38,739.98,-1.13,44.44,1.87,8.33,4.62,2330.91,38.85,4205.1,70.08,,
Gines to Poblacion1,12726.59,77.98,278.61,200.62,441.97,241.35,1.58,32.71,1.37,8.33,6.56,1527.8,25.46,1940.14,32.34,,
Gines to Poblacion 2,15980.47,77.89,278.7,200.8,538.85,338.05,1.26,44.46,1.72,8.33,5.18,1918.42,31.97,3086.14,51.44,,
Gines to Poblacion 2,18216.26,77.99,278.61,200.61,633.18,432.57,1.11,32.8,1.97,8.33,4.21,2186.83,36.45,4324.05,72.07,,
Igcadios to Poblacion 2,15021.97,242.85,86.91,-155.94,283.72,439.66,-1.04,31.99,1.82,8.33,4.8,1803.36,30.06,3126.38,52.11,,
Igcadios to Poblacion 1,13292.39,77.98,242.76,164.78,475.15,310.37,1.24,32.71,1.53,8.33,5.96,1595.72,26.6,2231.12,37.19,,
Igcadios to Poblacion 3,14575.18,77.89,241.59,163.7,438.68,274.98,1.13,69.27,1.69,8.33,5.35,1749.72,29.16,2722.83,45.38,,
Malublub to Poblacion 1,10479.66,175.91,87.29,-88.63,242.32,330.95,-0.85,45.2,1.67,8.33,5.44,1258.06,20.97,1927.09,32.12,,
Malublub to Poblacion 2,12988.89,77.98,175.81,97.83,400.5,302.67,0.76,32.71,1.95,8.33,4.31,1559.29,25.99,3017.04,50.28,,
Malublub to Poblacion 3,12802.37,77.98,175.81,97.83,417.56,319.73,0.77,32.71,1.92,8.33,4.42,1536.9,25.61,2894.85,48.25,,
Poblacion to Dugo 1,1371.0,72.69,87.05,14.35,32.88,18.53,1.05,12.81,1.3,8.33,6.93,164.59,2.74,197.98,3.3,,
Poblacion to Dugo 2,1490.33,72.69,87.05,14.35,36.66,22.31,0.96,12.81,1.42,8.33,6.47,178.91,2.98,230.21,3.84,,
Poblacion to Dugo 3,1376.74,72.69,87.05,14.35,33.32,18.96,1.04,12.81,1.31,8.33,6.9,165.27,2.75,199.43,3.32,,
Ticuan to Poblacion 1,13663.69,77.98,243.47,165.49,461.97,296.48,1.22,32.71,1.51,8.33,6.06,1640.3,27.34,2254.33,37.57,,
Ticuan to Poblacion 2,16911.07,77.89,243.51,165.61,561.44,395.82,0.98,44.46,1.87,8.33,4.63,2030.14,33.84,3655.39,60.92,,
Ticuan to Poblacion 3,19143.76,77.99,243.49,165.5,654.7,489.2,0.87,32.8,2.11,8.33,4.09,2298.17,38.3,4677.51,77.96,,
Tunguan to Poblacion 1,14875.3,77.98,406.6,328.62,613.1,284.49,2.22,32.71,1.36,8.33,6.53,1785.75,29.76,2278.05,37.97,,
Tunguan to Poblacion 2,18757.22,406.57,86.91,-319.66,390.84,710.49,-1.71,32.59,1.78,8.33,4.9,2251.77,37.53,3827.33,63.79,,
Tunguan to Poblacion 3,17593.26,406.58,86.98,-319.6,328.07,647.67,-1.82,44.44,1.67,8.33,5.33,2112.04,35.2,3298.36,54.97,,
Tunguan to Poblacion 4,15294.22,77.98,406.6,328.62,639.42,310.8,2.16,36.29,1.4,8.33,6.39,1836.04,30.6,2394.53,39.91,,
