Path_Name,Distance_m,Start_Elevation_m,End_Elevation_m,Elevation_Diff_m,Total_Ascent_m,Total_Descent_m,Gradient_Percent,Max_Slope_Percent,Base_Speed_mps,Adj_Speed_mps,Travel_Time_s,Travel_Time_min,Travel_Time_with_Slope_s,Travel_Time_with_Slope_min,Road_Type,Condition
Ayabang to Poblacion 2,16721.93,287.96,86.91,-201.06,349.72,550.78,-1.21,32.59,8.33,8.13,2007.43,33.46,2057.05,34.28,Concrete,Very Good
Ayabang to Poblacion 1,15936.52,86.93,287.61,200.68,518.46,317.78,1.26,44.46,8.33,8.12,1913.15,31.89,1962.72,32.71,Concrete,Very Good
Ayabang to Poblacion 3,16478.32,287.59,86.98,-200.61,316.06,516.67,-1.22,44.44,8.33,8.13,1978.19,32.97,2027.72,33.8,Concrete,Very Good
Banagan to Poblacion 1,20580.26,305.5,86.91,-218.6,583.88,802.47,-1.07,33.79,8.33,8.15,2470.62,41.18,2524.49,42.07,Concrete,Very Good
Banagan to Poblacion 2,17309.54,86.93,305.61,218.68,715.84,497.16,1.27,33.84,8.33,8.12,2077.98,34.63,2132.11,35.54,Gravel,Fairly Good
Banagan to Poblacion 3,20260.42,86.93,305.61,218.68,898.96,680.28,1.09,34.41,8.33,8.15,2432.22,40.54,2486.2,41.44,Concrete,Very Good
Banagan to Poblacion 4,19416.46,305.58,86.98,-218.6,521.38,739.98,-1.13,44.44,8.33,8.14,2330.91,38.85,2384.87,39.75,Concrete,Very Good
Gines to Poblacion1,13339.75,86.93,278.61,191.68,452.95,261.27,1.44,32.71,8.33,8.09,1601.41,26.69,1648.94,27.48,Concrete,Very Good
Gines to Poblacion 2,16592.08,86.93,278.7,191.77,549.74,357.97,1.16,44.46,8.33,8.14,1991.85,33.2,2039.13,33.99,Concrete,Very Good
Gines to Poblacion 3,18829.74,86.93,278.61,191.68,644.16,452.49,1.02,32.8,8.33,8.16,2260.47,37.67,2307.62,38.46,Concrete,Very Good
Igcadios to Poblacion 2,15021.97,242.85,86.91,-155.94,283.72,439.66,-1.04,31.99,8.33,8.16,1803.36,30.06,1841.69,30.69,Concrete,Very Good
Igcadios to Poblacion 1,13905.55,86.93,242.76,155.83,486.12,330.29,1.12,32.71,8.33,8.14,1669.33,27.82,1707.75,28.46,Concrete,Very Good
Igcadios to Poblacion 3,15186.79,86.93,241.59,154.66,449.57,294.91,1.02,69.27,8.33,8.16,1823.14,30.39,1861.16,31.02,Concrete,Very Good
Malublub to Poblacion 1,10479.66,175.91,87.29,-88.63,242.32,330.95,-0.85,45.2,8.33,8.19,1258.06,20.97,1279.8,21.33,Concrete,Very Good
Malublub to Poblacion 2,13602.05,86.93,175.81,88.88,411.47,322.59,0.66,32.71,8.33,8.22,1632.9,27.21,1654.59,27.58,Concrete,Very Good
Malublub to Poblacion 3,13415.53,86.93,175.81,88.88,428.53,339.65,0.66,32.71,8.33,8.22,1610.51,26.84,1632.21,27.2,Concrete,Very Good
Poblacion to Dugo 1,1371.0,72.69,87.05,14.35,32.88,18.53,1.05,12.81,8.33,8.16,164.59,2.74,168.11,2.8,Concrete,Very Good
Poblacion to Dugo 2,1490.33,72.69,87.05,14.35,36.66,22.31,0.96,12.81,8.33,8.17,178.91,2.98,182.43,3.04,Concrete,Very Good
Poblacion to Dugo 3,1376.74,72.69,87.05,14.35,33.32,18.96,1.04,12.81,8.33,8.16,165.27,2.75,168.8,2.81,Concrete,Very Good
Ticuan to Poblacion 1,14276.85,86.93,243.47,156.54,472.95,316.4,1.1,32.71,8.33,8.15,1713.91,28.57,1752.46,29.21,Concrete,Very Good
Ticuan to Poblacion 2,17522.68,86.93,243.51,156.58,572.32,415.75,0.9,44.46,8.33,8.18,2103.56,35.06,2141.97,35.7,Concrete,Very Good
Ticuan to Poblacion 3,19757.24,86.93,243.49,156.56,665.68,509.12,0.8,32.8,8.33,8.2,2371.82,39.53,2410.15,40.17,Concrete,Very Good
Tunguan to Poblacion 1,15488.46,86.93,406.6,319.67,624.07,304.41,2.07,32.71,8.33,7.98,1859.36,30.99,1939.72,32.33,Concrete,Very Good
Tunguan to Poblacion 2,18757.22,406.57,86.91,-319.66,390.84,710.49,-1.71,32.59,8.33,8.05,2251.77,37.53,2331.52,38.86,Concrete,Very Good
Tunguan to Poblacion 3,17593.26,406.58,86.98,-319.6,328.07,647.67,-1.82,44.44,8.33,8.03,2112.04,35.2,2191.97,36.53,Concrete,Very Good
Tunguan to Poblacion 4,15907.39,86.93,406.6,319.67,650.39,330.73,2.02,36.29,8.33,7.99,1909.65,31.83,1989.94,33.17,Concrete,Very Good
Camando to Poblacion 1,4309.3,85.81,87.04,1.23,81.36,80.14,0.03,23.94,8.33,8.33,517.32,8.62,517.62,8.63,Concrete,Very Good
Camando to Poblacion 2,4032.36,87.36,87.19,-0.16,149.53,149.69,-0.0,26.32,8.33,8.33,484.08,8.07,484.12,8.07,Concrete,Very Good
Camando to Poblacion 3,11757.2,85.2,87.04,1.84,422.52,420.68,0.02,35.49,8.33,8.33,1411.43,23.52,1411.87,23.53,Concrete,Very Good
Lanag to Poblacion 1,3576.22,96.4,87.03,-9.37,59.2,68.57,-0.26,15.07,8.33,8.29,429.32,7.16,431.58,7.19,Concrete,Very Good
Nagbangi to Poblacion 1,4627.01,85.4,86.92,1.52,74.25,72.73,0.03,12.94,8.33,8.32,555.46,9.26,555.83,9.26,"Gravel, Concrete","Fairly Good, Very Good"
Apian to Poblacion 1,10408.65,243.74,86.95,-156.8,280.76,437.55,-1.51,24.32,8.33,8.08,1249.54,20.83,1288.5,21.48,Concrete,Very Good
Apian to Poblacion 2,18663.81,244.8,87.05,-157.75,639.64,797.39,-0.85,38.54,8.33,8.19,2240.55,37.34,2279.26,37.99,Concrete,Very Good
Apian to Poblacion 3,11967.2,242.19,86.91,-155.28,190.91,346.19,-1.3,37.82,8.33,8.11,1436.64,23.94,1475.01,24.58,Concrete,Very Good
Dorog to Poblacion 1,12362.74,185.29,86.91,-98.38,173.07,271.45,-0.8,24.75,8.33,8.2,1484.12,24.74,1508.16,25.14,Concrete,Very Good
Dorog to Poblacion 2,12349.97,185.29,86.91,-98.38,172.23,270.61,-0.8,24.33,8.33,8.2,1482.59,24.71,1506.63,25.11,Concrete,Very Good
Dorog to Poblacion 3,16471.46,87.02,183.84,96.82,707.7,610.88,0.59,46.4,8.33,8.23,1977.37,32.96,2001.01,33.35,Concrete,Very Good.
Dorog to Poblacion 4,19345.37,185.26,87.12,-98.15,669.93,768.08,-0.51,46.33,8.33,8.25,2322.37,38.71,2346.29,39.1,Concrete,Very Good
Dusacan to Poblacion 1,9850.91,139.39,86.91,-52.48,131.16,183.64,-0.53,16.56,8.33,8.24,1182.58,19.71,1195.33,19.92,"Concrete, Earth, Gravel",Fairly Good
Dusacan to Poblacion 2,11449.84,139.41,86.91,-52.51,211.95,264.45,-0.46,23.27,8.33,8.25,1374.53,22.91,1387.28,23.12,Concrete,Very Good
Marirong to Poblacion 1,13394.6,87.02,258.43,171.42,577.18,405.77,1.29,34.74,8.33,8.12,1608.0,26.8,1650.43,27.51,Concrete,Very Good
Marirong to Poblacion 2,15431.01,258.42,86.91,-171.51,302.39,473.9,-1.11,46.22,8.33,8.14,1852.46,30.87,1894.69,31.58,Concrete,Very Good
Marirong to Poblacion 3,16276.77,258.42,87.12,-171.31,464.72,636.02,-1.06,34.75,8.33,8.15,1953.99,32.57,1996.17,33.27,Concrete,Very Good
Tacuyong Norte to Poblacion 1,13043.31,87.02,248.41,161.39,547.01,385.62,1.24,32.96,8.33,8.12,1565.82,26.1,1605.73,26.76,Concrete,Very Good
Tacuyong Norte to Poblacion 2,15725.77,251.28,87.05,-164.22,556.37,720.6,-1.05,38.54,8.33,8.16,1887.85,31.46,1928.33,32.14,Concrete,Very Good
Tacuyong Norte to Poblacion 3,16129.71,251.33,87.12,-164.21,451.73,615.94,-1.02,33.7,8.33,8.16,1936.34,32.27,1976.74,32.95,Concrete,Very Good
Baje to Poblacion 1,9967.89,221.77,87.05,-134.71,291.23,425.95,-1.36,38.54,8.33,8.1,1196.63,19.94,1230.01,20.5,Concrete,Very Good
Baje to Poblacion 2,13651.64,222.0,87.12,-134.89,364.26,499.15,-0.99,37.52,8.33,8.16,1638.85,27.31,1672.0,27.87,"Gravel, Concrete","Fairly Good, Very Good"
Baje to Poblacion 3,15930.78,221.58,87.12,-134.46,439.53,573.99,-0.85,33.25,8.33,8.19,1912.46,31.87,1945.41,32.42,Concrete,Very Good
Carara-an to Poblacion 1,12747.78,86.93,228.7,141.77,415.25,273.49,1.12,32.71,8.33,8.14,1530.35,25.51,1565.27,26.09,"Gravel, Concrete","Fairly Good, Very Good"
Carara-an to Poblacion 2,14193.31,86.93,229.2,142.27,380.73,238.46,1.0,32.6,8.33,8.16,1703.88,28.4,1738.82,28.98,Concrete,Very Good
Carara-an to Poblacion 3,16325.97,86.93,229.19,142.26,504.13,361.87,0.87,60.25,8.33,8.18,1959.9,32.66,1994.78,33.25,"Earth, Concrete","Poor, Very Good"
Isian Victoria to Poblacion 1,5963.03,275.35,86.95,-188.39,93.93,282.33,-3.17,23.1,8.33,7.8,715.85,11.93,764.29,12.74,Concrete,Very Good
Isian Victoria to Poblacion 2,5377.44,275.35,86.8,-188.55,72.03,260.58,-3.52,21.79,8.33,7.74,645.55,10.76,694.4,11.57,Concrete,Very Good
Salngan to Poblacion 1,4684.52,228.5,86.82,-141.68,64.9,206.58,-3.03,21.76,8.33,7.82,562.37,9.37,598.68,9.98,Concrete,Very Good
Magcapay to Poblacion 1,10682.64,215.35,87.17,-128.18,313.52,441.7,-1.2,35.76,8.33,8.13,1282.43,21.37,1314.09,21.9,Concrete,Very Good
Magcapay to Poblacion 2,10753.05,215.28,87.05,-128.22,292.92,421.15,-1.2,36.21,8.33,8.13,1290.88,21.51,1322.53,22.04,Concrete,Very Good
Magcapay to Poblacion 3,10905.36,215.28,87.05,-128.22,318.15,446.38,-1.18,36.21,8.33,8.13,1309.17,21.82,1340.82,22.35,Concrete,Very Good
Magcapay to Poblacion 4,12858.85,215.3,87.02,-128.28,435.24,563.52,-1.0,33.83,8.33,8.16,1543.68,25.73,1575.26,26.25,Concrete,Very Good
Siol Norte to Poblacion 1,8311.13,142.64,87.06,-55.58,146.1,201.68,-0.67,22.66,8.33,8.22,997.73,16.63,1011.28,16.85,Concrete,Very Good
Siol Norte to Poblacion 2,7286.43,142.6,87.06,-55.54,125.95,181.49,-0.76,24.3,8.33,8.2,874.72,14.58,888.28,14.8,Concrete,Very Good
Siol Norte to Poblacion 3,6337.52,142.63,86.92,-55.72,103.09,158.81,-0.88,23.6,8.33,8.18,760.81,12.68,774.45,12.91,Concrete,Very Good
Siol Sur to Poblacion 1,6824.48,75.6,87.03,11.42,147.06,135.63,0.17,14.71,8.33,8.3,819.27,13.65,822.02,13.7,"Gravel, Concrete","Fairly Good, Very Good"
Siol Sur to Poblacion 2,9529.49,75.58,87.06,11.48,233.1,221.62,0.12,24.32,8.33,8.31,1144.0,19.07,1146.77,19.11,"Gravel, Concrete","Fairly Good, Very Good"
Siol Sur to Poblacion 3,7527.26,75.45,86.92,11.47,187.08,175.61,0.15,24.35,8.33,8.3,903.63,15.06,906.4,15.11,"Gravel, Concrete","Fairly Good, Very Good"
Tu-og to Poblacion 1,10877.74,113.41,87.06,-26.34,278.27,304.62,-0.24,32.13,8.33,8.29,1305.85,21.76,1312.23,21.87,Concrete,Fairly Good
Tu-og to Poblacion 2,9825.17,113.44,87.06,-26.38,256.37,282.75,-0.27,32.14,8.33,8.29,1179.49,19.66,1185.88,19.76,"Gravel, Concrete","Fairly Good, Very Good"
Tu-og to Poblacion 3,7321.72,113.41,86.92,-26.49,195.24,221.73,-0.36,32.3,8.33,8.27,878.96,14.65,885.38,14.76,"Gravel, Concrete","Fairly Good, Very Good"
Tu-og to Poblacion 4,6789.53,113.4,86.92,-26.48,156.22,182.7,-0.39,35.88,8.33,8.26,815.07,13.58,821.5,13.69,"Gravel, Concrete","Fairly Good, Very Good"
Paoy to Poblacion 1,5578.2,194.65,87.04,-107.61,86.32,193.93,-1.93,25.68,8.33,8.01,669.65,11.16,696.59,11.61,"Earth, Concrete","Fairly Good, Poor"
Paoy to Poblacion 2,5371.99,194.71,87.02,-107.69,159.72,267.41,-2.01,25.78,8.33,7.99,644.9,10.75,671.97,11.2,"Earth, Concrete","Fairly Good, Poor"
Paoy to Poblacion 3,9444.99,194.42,87.04,-107.38,276.15,383.54,-1.14,34.65,8.33,8.14,1133.85,18.9,1160.34,19.34,"Earth, Gravel, Concrete","Good, Fairly Good, Poor"
Cawilihan to Poblacion 1,16541.52,86.93,336.21,249.28,705.39,456.1,1.51,40.2,8.33,8.08,1985.78,33.1,2047.81,34.13,"Earth, Gravel, Concrete","Poor, Fairly Good, Very Good"
Cawilihan to Poblacion 2,14389.95,336.11,86.98,-249.13,207.48,456.61,-1.74,40.2,8.33,8.04,1727.48,28.79,1789.63,29.83,"Earth, Gravel, Concrete","Poor, Fairly Good, Very Good"
Cawilihan to Poblacion 3,19315.08,86.93,336.37,249.44,962.3,712.85,1.3,45.3,8.33,8.11,2318.74,38.65,2380.61,39.68,"Earth, Gravel, Concrete","Poor, Fairly Good, Very Good"
Coyugan Norte to Poblacion 1,10871.27,180.62,86.93,-93.69,347.24,440.93,-0.87,37.82,8.33,8.19,1305.07,21.75,1328.06,22.13,Concrete,Very Good
Coyugan Norte to Poblacion 2,10899.78,184.94,86.91,-98.03,153.93,251.96,-0.9,36.85,8.33,8.18,1308.5,21.81,1332.5,22.21,Concrete,Very Good
Coyugan Norte to Poblacion 3,20497.44,86.93,182.02,95.09,680.41,585.32,0.47,44.88,8.33,8.25,2460.68,41.01,2483.81,41.4,Concrete,Very Good
Coyugan Norte to Poblacion 4,19108.4,182.21,87.05,-95.16,712.83,807.99,-0.5,38.54,8.33,8.25,2293.93,38.23,2317.12,38.62,Concrete,Very Good
Nalbang to Poblacion 1,11644.82,87.02,293.53,206.52,502.63,296.12,1.78,32.96,8.33,8.03,1397.94,23.3,1449.55,24.16,Concrete,Very Good
